16:10:08.285 INFO  - initializing database
16:10:08.288 INFO  - parsing net file
16:10:08.427 INFO  - checking existing routes
16:10:08.428 INFO  - no route file for import given, ignoring!
16:10:08.836 INFO  - Saving 3090 nodes...
16:10:08.865 INFO  - Saving 1832 ways...
16:10:08.925 INFO  - Saving 1832 connections...
16:10:08.985 INFO  - Saving 849 restrictions...
16:10:09.008 INFO  - Saving 0 routes...
16:10:09.008 INFO  - Saving 0 roundabouts...
16:10:09.008 INFO  - Saving 0 buildings...
16:10:09.009 INFO  - Create Indices
16:10:09.044 INFO  - Database saved
16:10:09.045 INFO  - finished
