16:14:23.471 INFO  - initializing database
16:14:23.471 INFO  - loading database... 
16:14:23.593 INFO  - success

16:14:23.600 INFO  - No net-file given. No network will be imported.
16:14:23.600 INFO  - parsing route file
16:14:23.661 INFO  - no global route definitions found (probably per vehicle routes?)
16:14:23.661 INFO  - no vehicle definitions found
16:14:23.661 INFO  - 

16:14:23.661 INFO  - processing flow 1/72     
16:14:23.663 INFO  - processing flow 1/72     edge 1/14
16:14:23.663 INFO  - processing flow 1/72     edge 2/14
16:14:23.663 INFO  - processing flow 1/72     edge 3/14
16:14:23.663 INFO  - processing flow 1/72     edge 4/14
16:14:23.663 INFO  - processing flow 1/72     edge 5/14
16:14:23.664 INFO  - processing flow 1/72     edge 6/14
16:14:23.664 INFO  - processing flow 1/72     edge 7/14
16:14:23.664 INFO  - processing flow 1/72     edge 8/14
16:14:23.664 INFO  - processing flow 1/72     edge 9/14
16:14:23.664 INFO  - processing flow 1/72     edge 10/14
16:14:23.664 INFO  - processing flow 1/72     edge 11/14
16:14:23.664 INFO  - processing flow 1/72     edge 12/14
16:14:23.664 INFO  - processing flow 1/72     edge 13/14
16:14:23.664 INFO  - processing flow 1/72     edge 14/14
16:14:23.664 WARN  - vehicle with id f_r2ps_to_ach1_1 has either no or an invalid starting time, assuming 0
16:14:23.666 INFO  - processing flow 2/72     
16:14:23.666 INFO  - processing flow 2/72     edge 1/16
16:14:23.666 INFO  - processing flow 2/72     edge 2/16
16:14:23.666 INFO  - processing flow 2/72     edge 3/16
16:14:23.666 INFO  - processing flow 2/72     edge 4/16
16:14:23.666 INFO  - processing flow 2/72     edge 5/16
16:14:23.666 INFO  - processing flow 2/72     edge 6/16
16:14:23.666 INFO  - processing flow 2/72     edge 7/16
16:14:23.666 INFO  - processing flow 2/72     edge 8/16
16:14:23.666 INFO  - processing flow 2/72     edge 9/16
16:14:23.666 INFO  - processing flow 2/72     edge 10/16
16:14:23.666 INFO  - processing flow 2/72     edge 11/16
16:14:23.667 INFO  - processing flow 2/72     edge 12/16
16:14:23.667 INFO  - processing flow 2/72     edge 13/16
16:14:23.667 INFO  - processing flow 2/72     edge 14/16
16:14:23.667 INFO  - processing flow 2/72     edge 15/16
16:14:23.667 INFO  - processing flow 2/72     edge 16/16
16:14:23.667 WARN  - vehicle with id f_r2ps_to_ach1_2 has either no or an invalid starting time, assuming 0
16:14:23.667 INFO  - processing flow 3/72     
16:14:23.667 INFO  - processing flow 3/72     edge 1/12
16:14:23.667 INFO  - processing flow 3/72     edge 2/12
16:14:23.667 INFO  - processing flow 3/72     edge 3/12
16:14:23.667 INFO  - processing flow 3/72     edge 4/12
16:14:23.667 INFO  - processing flow 3/72     edge 5/12
16:14:23.667 INFO  - processing flow 3/72     edge 6/12
16:14:23.667 INFO  - processing flow 3/72     edge 7/12
16:14:23.667 INFO  - processing flow 3/72     edge 8/12
16:14:23.667 INFO  - processing flow 3/72     edge 9/12
16:14:23.667 INFO  - processing flow 3/72     edge 10/12
16:14:23.667 INFO  - processing flow 3/72     edge 11/12
16:14:23.667 INFO  - processing flow 3/72     edge 12/12
16:14:23.667 WARN  - vehicle with id f_r2ps_to_mgp_1 has either no or an invalid starting time, assuming 0
16:14:23.667 INFO  - processing flow 4/72     
16:14:23.667 INFO  - processing flow 4/72     edge 1/14
16:14:23.668 INFO  - processing flow 4/72     edge 2/14
16:14:23.668 INFO  - processing flow 4/72     edge 3/14
16:14:23.668 INFO  - processing flow 4/72     edge 4/14
16:14:23.668 INFO  - processing flow 4/72     edge 5/14
16:14:23.668 INFO  - processing flow 4/72     edge 6/14
16:14:23.668 INFO  - processing flow 4/72     edge 7/14
16:14:23.668 INFO  - processing flow 4/72     edge 8/14
16:14:23.668 INFO  - processing flow 4/72     edge 9/14
16:14:23.668 INFO  - processing flow 4/72     edge 10/14
16:14:23.668 INFO  - processing flow 4/72     edge 11/14
16:14:23.668 INFO  - processing flow 4/72     edge 12/14
16:14:23.668 INFO  - processing flow 4/72     edge 13/14
16:14:23.668 INFO  - processing flow 4/72     edge 14/14
16:14:23.668 WARN  - vehicle with id f_r2ps_to_mgp_2 has either no or an invalid starting time, assuming 0
16:14:23.668 INFO  - processing flow 5/72     
16:14:23.668 INFO  - processing flow 5/72     edge 1/5
16:14:23.668 INFO  - processing flow 5/72     edge 2/5
16:14:23.668 INFO  - processing flow 5/72     edge 3/5
16:14:23.668 INFO  - processing flow 5/72     edge 4/5
16:14:23.668 INFO  - processing flow 5/72     edge 5/5
16:14:23.668 WARN  - vehicle with id f_r2ps_to_bk has either no or an invalid starting time, assuming 0
16:14:23.669 INFO  - processing flow 6/72     
16:14:23.669 INFO  - processing flow 6/72     edge 1/40
